V_COD_ESTA,V_COD_TIPO,V_COD_ANESTA,V_NOM_ESTA,V_COD_CUEN,V_COD_CATE,V_COD_PROV,V_COD_DEP,V_COD_DIST,V_COD_ENTI,V_COD_DRE,N_LON_GRAD,N_LON_MIN,N_LON_SEG,N_LON_SIG,N_LAT_GRAD,N_ALT_MTS,N_LAT_MIN,N_LAT_SEG,N_LAT_SIG,V_COD_COND,V_SUB_ESTA,V_CLAS_ESTA,V_COD_ZONA,V_COD_CUENCA,V_NOM_CUENCA,V_COD_POSTAL,N_MIN_HELADA,N_MAX_HELADA
106014,M,000378,MOYOBAMBA,,11,,,,SEN,,,,,-76.968210,,879,,,-6.044810,F,C,CON,,,,,,
106025,M,140307,MOYOBAMBA,,14,,,,COR,,,,,-76.933610,,800,,,-6.050280,P,C,CON,,,,,,
240102,H,240101,ENAPU PERU,,06,,,,SEN,,,,,-73.236940,,126,,,-3.727220,F,C,CON,,,,,,
114042,M,000785,MUnAN,,11,,,,SEN,,,,,-69.951810,,"3,932",,,-14.766940,F,C,CON,,,,,,
103023,M,000153,MORALILLO,,12,,,,SEN,,,,,-73.338330,,106,,,-3.899670,F,C,CON,,,,,,
103050,M,000173,MUYUY,,11,,,,SEN,,,,,-73.216940,,96,,,-3.900280,C,C,CON,,,,,,
105107,M,000220,NAMBALLE,,11,,,,SEN,,,,,-79.088620,,722,,,-4.999530,F,C,CON,,,,,,
107037,M,000321,NAMORA,,11,,,,SEN,,,,,-78.327820,,"2,760",,,-7.200600,F,C,CON,,,,,,
107065,M,153220,NAMORA,,15,,,,SEN,,,,,-78.333610,,"2,750",,,-7.200280,C,C,CON,,,,,,
220206,H,220206,NAMORA BOCATOMA,,05,,,,SEN,,,,,-78.294720,,"2,612",,,-7.242620,F,C,CON,,,,,,
104022,M,152113,NANGAY MATALACAS,,15,,,,SEN,,,,,-79.766940,,"2,124",,,-4.866940,C,C,CON,,,,,,
105103,M,000219,NARANJILLO,,11,,,,SEN,,,,,-77.393190,,880,,,-5.809640,F,C,CON,,,,,,
105049,M,152219,NARANJILLO,,15,,,,SEN,,,,,-77.383610,,900,,,-5.833610,C,C,CON,,,,,,
104056,M,000279,NAUTA,,11,,,,SEN,,,,,-73.583750,,101,,,-4.513360,F,C,CON,,,,,,
104068,M,152407,NAUTA,,15,,,,SEN,,,,,-73.583610,,118,,,-4.500280,C,C,CON,,,,,,
106018,M,000386,NAVARRO,,11,,,,SEN,,,,,-75.731430,,148,,,-6.375870,F,C,CON,,,,,,
104082,M,000212,NEGRITOS,,11,,,,SEN,,,,,-81.300280,,17,,,-4.650280,C,C,CON,,,,,,
111084,M,155207,PACHAMACHAY,,15,,,,SEN,,,,,-76.914100,,"3,175",,,-11.065250,F,C,CON,,,,,,
